Username,Tweet,Clean_Tweet,Sentiment_Score,Sentiment
user_8197,Don't see much difference between iPhone 15 and 16.,dont see much difference iphone,0.0,Neutral
user_7500,Is it just me or is the iPhone 16 overheating?,iphone overheating,0.0,Neutral
user_2918,iPhone 16 is so fast it's scary.,iphone fast scary,-0.4939,Negative
user_6821,Face ID works even in the dark. Impressed with iPhone 16!,face id works even dark impressed iphone,0.4767,Positive
user_6638,iPhone 16 is a game-changer. Love the new features!,iphone gamechanger love new features,0.6369,Positive
user_9901,Too expensive. I'll skip iPhone 16 this year.,expensive ill skip iphone year,-0.4215,Negative
user_2090,Just unboxed my iPhone 16. It's beautiful!,unboxed iphone beautiful,0.5994,Positive
user_1380,Battery drains faster than expected on iPhone 16.,battery drains faster expected iphone,0.0,Neutral
user_9890,Just unboxed my iPhone 16. It's beautiful!,unboxed iphone beautiful,0.5994,Positive
user_2260,Is it just me or is the iPhone 16 overheating?,iphone overheating,0.0,Neutral
user_7906,Don't see much difference between iPhone 15 and 16.,dont see much difference iphone,0.0,Neutral
user_2509,Too expensive. I'll skip iPhone 16 this year.,expensive ill skip iphone year,-0.4215,Negative
user_3284,Too expensive. I'll skip iPhone 16 this year.,expensive ill skip iphone year,-0.4215,Negative
user_6073,Pre-ordered the iPhone 16 and can't wait!,preordered iphone cant wait,0.0,Neutral
user_9744,Don't see much difference between iPhone 15 and 16.,dont see much difference iphone,0.0,Neutral
user_1531,Wish the iPhone 16 came in more colors.,wish iphone came colors,0.4019,Positive
user_9272,iPhone 16 Night Mode camera is unreal.,iphone night mode camera unreal,0.0,Neutral
user_9541,Face ID works even in the dark. Impressed with iPhone 16!,face id works even dark impressed iphone,0.4767,Positive
user_7880,Wish the iPhone 16 came in more colors.,wish iphone came colors,0.4019,Positive
user_8643,Not a fan of the new button layout on iPhone 16.,fan new button layout iphone,0.3182,Positive
user_3125,Still deciding between iPhone 16 and Samsung S24.,still deciding iphone samsung,0.0,Neutral
user_9943,Dropped my iPhone 16 already. RIP screen.,dropped iphone already rip screen,0.0,Neutral
user_2054,The speakers on iPhone 16 are really loud!,speakers iphone really loud,0.0,Neutral
user_8460,The speakers on iPhone 16 are really loud!,speakers iphone really loud,0.0,Neutral
user_8451,Don't see much difference between iPhone 15 and 16.,dont see much difference iphone,0.0,Neutral
user_6313,iPhone 16 Pro Max is massive but amazing!,iphone pro max massive amazing,0.5859,Positive
user_8311,Face ID works even in the dark. Impressed with iPhone 16!,face id works even dark impressed iphone,0.4767,Positive
user_7715,The new A18 chip in iPhone 16 is blazing fast.,new chip iphone blazing fast,0.0,Neutral
user_2047,iPhone 16 Pro Max is massive but amazing!,iphone pro max massive amazing,0.5859,Positive
user_5121,Face ID works even in the dark. Impressed with iPhone 16!,face id works even dark impressed iphone,0.4767,Positive
user_5843,The speakers on iPhone 16 are really loud!,speakers iphone really loud,0.0,Neutral
user_5126,Don't see much difference between iPhone 15 and 16.,dont see much difference iphone,0.0,Neutral
user_4295,iPhone 16 is a game-changer. Love the new features!,iphone gamechanger love new features,0.6369,Positive
user_9699,iPhone 16 is so fast it's scary.,iphone fast scary,-0.4939,Negative
user_8067,Is it just me or is the iPhone 16 overheating?,iphone overheating,0.0,Neutral
user_3226,iPhone 16 Night Mode camera is unreal.,iphone night mode camera unreal,0.0,Neutral
user_7686,Dropped my iPhone 16 already. RIP screen.,dropped iphone already rip screen,0.0,Neutral
user_1694,Dynamic Island feels more useful now on iPhone 16.,dynamic island feels useful iphone,0.6705,Positive
user_1477,Wish the iPhone 16 came in more colors.,wish iphone came colors,0.4019,Positive
user_8673,Don't see much difference between iPhone 15 and 16.,dont see much difference iphone,0.0,Neutral
user_3739,Not a fan of the new button layout on iPhone 16.,fan new button layout iphone,0.3182,Positive
user_9797,The speakers on iPhone 16 are really loud!,speakers iphone really loud,0.0,Neutral
user_4644,Don't see much difference between iPhone 15 and 16.,dont see much difference iphone,0.0,Neutral
user_1184,Dropped my iPhone 16 already. RIP screen.,dropped iphone already rip screen,0.0,Neutral
